0.0,54.77,70.54,59.85,20.4,73.89,49.24,38.77,11.04,77.85,
54.77,0.0,9.12,11.03,71.9,34.3,14.69,59.87,8.65,86.19,
70.54,9.12,0.0,55.46,10.19,10.78,90.44,23.37,41.17,11.64,
59.85,11.03,55.46,0.0,16.83,55.21,32.11,49.8,56.04,39.97,
20.4,71.9,10.19,16.83,0.0,71.34,99.91,67.66,11.1,37.75,
73.89,34.3,10.78,55.21,71.34,0.0,74.86,44.22,60.15,36.54,
49.24,14.69,90.44,32.11,99.91,74.86,0.0,91.42,43.59,14.49,
38.77,59.87,23.37,49.8,67.66,44.22,91.42,0.0,39.6,13.78,
11.04,8.65,41.17,56.04,11.1,60.15,43.59,39.6,0.0,73.27,
77.85,86.19,11.64,39.97,37.75,36.54,14.49,13.78,73.27,0.0,
